bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,Sword and Sail,2004,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,5,,,,,12,,30,30,,,,,,,,,,0,,,,,,002IJykbze,,,,,
,Lords of Vegas: Underworld – Vegas Shutdown Promo Card,2020,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,12,,60,90,,,,,,,,,,0,,,,,,006hZ0EM7o,,,,,
,Charon,1996,,"id,num_games,score,game,url,images",Andreas Lenz,"name,id,url,num_games,score,game,images",2,4,,,,,,,30,30,,,,,,,,,,0,,,,,,007646Mm8B,,,,,
,Fotbolls-MIG,2010,,,,"name,id,url,num_games,score,game,images",2,2,,,,,15,,15,15,,,,,,,,,,0,,,,,,007nZoHMje,,,,,
,Profiteers,,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",3,5,,,,,12,,45,45,N0TkEGfEsF,jbLrZb1xIb,,,,,,,,0,,,,,,008xXY6De5,,,,,
,Scout: Mein erstes Taschengeld,2016,,"id,num_games,score,game,url,images",,"name,id,url,num_games,score,game,images",2,4,,,,,6,,15,15,,,,,,,,,,0,,,,,,009PRyhvqH,,,,,
,Warp 6,2002,,"id,num_games,score,game,url,images",,"id,name,url,num_games,score,game,images",2,3,,,,,12,,20,20,,mGBzR68m8Z,,,,,,,,0,,,,,,00AI3sb84B,,,,,
,Slowquest Character Cards: a tool for creating heroes & npcs,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,0,,,,,,00CO1fbVCd,,,,,
,"Magic Mics - Erin Campbell ""Guilds of Ravnica"" Token",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,00CidwKuKE,,,,,
,Monopoly: Tampere,2008,,,,"id,name,url,num_games,score,game,images",2,6,,,,,8,,60,60,"N0TkEGfEsF,7rV11PKqME",,,,,,,,,0,,,,,,00Dz8iXyke,,,,,
,Ett Vinspel,2011,,,,"name,id,url,num_games,score,game,images",2,9,,,,,18,,30,30,,,,,,,,,,0,,,,,,00F2xTPUKj,,,,,
,Book of Exalted Deeds,2003,,"id,num_games,score,game,url,images","Tom Baxa,Steven Belledin,Matt Cavotta,Brent Chumley,Rebecca Guay-Mitchell,Henry Higgenbotham,Jeremy Jarvis,Doug Kovacs,Ginger Kubic,David G. Martin,Matthew Mitchell,Dawn Murin,Mark A. Nelson,Wayne Reynolds,Ron Spencer,Arnie Swekel,Ben Thompson",,,,,,,,,,,,,,,,,,,,,0,,,,,,00FsTtHZKB,,,,,
,Land of the Dead,,,,,,,,,,,,,,,,rrvd68LjOR,,,,,,,,,0,,,,,,00GsgqEexP,,,,,
