bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
1,Die Macher,1986,5497,1,"12517,4959","133,2,24883,2726,15108,39249,11652,5382,8147",3,5,4,5,5,5,14,14.027777777777779,240,240,"1021,1026,1001","2916,2080,2012,2072,2040,2020",,,,"10643,34116,91",,,369,5632,7.60139,1.5751,7.06367,4.3144,1.1666666666666665,,,,,,
2,Dragonmaster,1981,5497,8384,12424,"64,20",3,4,3,4,3,4,12,,30,30,"1002,1010",2009,,,,"73592,7005,75454",2174,,4490,584,6.65823,1.46752,5.76599,1.9636,,,,,,,
3,Samurai,1998,5497,2,11883,"17,133,267,29,7340,7335,41,2973,4617,1391,8291,5812,3218,3,3954,8313,8759",2,4,2,4,3,3,10,9.733333333333333,30,60,"1009,1035","2080,2040,2026,2846,2004,2002",,,,"64960,10634,70711,60111,42,28732",,,252,15863,7.45913,1.19279,7.22869,2.4784,1.006578947368421,,,,,,
4,Tal der Könige,1992,5497,8008,2277,37,2,4,2,4,2,4,12,,60,60,1050,"2001,2080,2012,2004",,,,"64229,6471,11505",,,5990,351,6.62296,1.23667,5.6666,2.6667,,,,,,,
5,Acquire,1964,5497,4,"12658,18317","92,5,4871,3082,858,2962,28072,5392,4668,38,4622,7107",2,6,3,6,4,4,12,11.728571428571428,90,90,"1021,1086","2040,2910,2900,2940,2005,2002,2874",,,,"78494,4891",,,319,19494,7.33439,1.33603,7.12541,2.4985,1.095890410958904,,,,,,
6,Mare Mediterraneum,1989,,5,5,6,2,6,2,6,2,6,12,,240,240,"1015,1008",2072,,,,"6363,58955",,,12146,84,6.54583,1.66285,5.54166,3.0,,,,,,,
7,Cathedral,1978,4666,1335,36624,"6421,4089,672,786,155,148,327,93,17832,35425",2,2,2,2,2,2,8,,20,20,"1009,1041,1029,1086","2043,2048,2060,2940,2002",,,,"26432,78567,24571,68769,61979",,,2203,3504,6.53356,1.34404,6.12556,1.7872,,,,,,,
8,Lords of Creation,1993,,6,36807,"4675,7",2,5,2,5,2,5,12,,120,120,"1015,1010",2011,,,,,,,10575,209,6.05493,1.36835,5.55656,2.4,,,,,,,
9,El Caballero,1998,5497,"7,8",74,"267,133,3",2,4,2,4,2,4,13,,90,90,1020,"2080,2002",,,,9959,,,3348,1423,6.44667,1.43825,5.89661,3.1867,,,,,,,
10,Elfenland,1998,5499,9,"74,9","8,267,4304,6818,18852,3395,3",2,6,3,6,4,4,10,8.11111111111111,60,60,"1010,1097","2040,2081,2041,2078",,,,"7005,19299,68281,42078,70360,34380",711,,1251,8706,6.68721,1.25205,6.45397,2.157,1.0,,,,,,
11,Bohnanza,1997,5499,10,"28004,44242,12035,11507,11901,65041,308,12123,4959,24642,74,12024,10,233,12102,11883,12038","8,267,46980,7162,9068,2378,6818,33618,8845,155,5530,6214,5640,8291,3218,9325,234,7772,3395,3504,2528,32581,22,3,44204,3888,9234,27545",2,7,3,7,4,5,12,8.10919540229885,45,45,"1002,1013,1026","2040,2981,2915,2004,2008",,,,"65191,5,18",,,501,43523,7.04409,1.29768,6.93174,1.6714,1.0294117647058822,,,,,,
12,Ra,1999,5497,2,"20789,139382,64844,106255,11883","9,34,28620,267,29,23205,2973,8291,9881,42294,3,9234,1901,31987",2,5,2,5,3,4,12,9.772727272727273,45,60,"1050,1082","2012,2923,2928,2922,2661,2004",,,,"6471,66292,70711,3867,59705,62771,58,71084,60111",,,172,22003,7.53327,1.33845,7.35844,2.3419,1.04375,,,,,,
13,CATAN,1995,"5497,5499",11,"12036,12382,13034,5442,26874,4959,11825,24191,25612,11883,12063","37,267,4304,157,52686,7340,6784,46980,7162,9068,4358,31418,4335,496,41,2366,26990,116,5657,4617,5530,21640,858,23382,4417,18852,8822,31372,29036,5020,6214,8291,2654,5597,3218,3533,10,51614,24886,2528,22,8313,44204,9235,48279,9234,42,18477,13481,14078",3,4,3,4,4,4,10,8.29757085020243,60,120,"1021,1026","2072,2026,2902,2011,2915,2081,2876,2909,2008,2897",,,,"7481,67874,68769,70360,77349,3,78198,11505",,,496,119186,7.10855,1.48869,6.93736,2.301,2.015679442508711,,,,,,
14,Basari,1998,"5497,5499",12,"6815,37332,17547","11,9881,48",3,4,3,4,4,4,10,,25,25,1026,"2035,2004,2020",,,,"73592,6485,67862",,,2341,1683,6.75001,1.21769,6.08652,1.8571,,,,,,,
15,Cosmic Encounter,1977,"5496,5497","34,35,10774,36","12369,27686,779,13327,35334,15161","27,404,74,41,26,858,1034,40",2,6,4,6,4,5,12,,90,90,"1023,1026,1016","2916,2040,2915,2015",,,,"22783,5679,133",,,1360,3948,6.91767,1.83024,6.40109,2.3706,,,,,,,
16,MarraCash,1996,5497,13,"24191,27879",37,3,4,3,4,4,4,12,,60,60,1021,2012,,,,"22783,19451,19450",,,2813,1039,6.87938,1.21421,5.98641,2.1489,,,,,,,
17,Button Men,1999,4667,61,"27379,15492,1038,616,13444,18283,6815,127,12009,280,13285,28039","12,78,465,973,76,365,322,89",2,2,2,2,2,2,10,,5,5,"1044,1017,1046,1120","2072,2661",,,,"22783,66140,6428,61979",14867,"226312,226085",4776,821,6.36401,1.51735,5.74238,1.52,,,,,,,
18,RoboRally,1994,"5496,5497",14,"12500,28513,616,14508,18431,28512,11883,18317","13,267,23043,8,4871,51,7365",2,8,3,8,5,6,12,9.971428571428572,45,120,"1059,1047,1031,1016","2689,2957,2676,2836,2011,2953,2876,2822,2020",,,,"78568,25158,75031,22232,6924",,,532,23534,7.06528,1.54323,6.90882,2.429,2.7142857142857144,,,,,,
19,Wacky Wacky West,1991,5499,11,"35234,11883","133,10",2,4,3,4,4,4,9,,30,45,"1055,1023,1029","2002,2017",,,,,,,3528,1885,6.27447,1.23732,5.86952,1.8323,,,,,,,
20,Full Metal Planète,1988,5497,"15,684,17",17,14,2,4,2,4,2,4,12,,90,90,"1047,1016","2001,2831",,,,"22783,25158,73591,21425",,,2608,755,7.51839,1.52351,6.02761,3.1429,,,,,,,
21,Gateway to the Stars,1994,,18,,15,1,7,1,7,1,7,12,,,,"1015,1020,1016,1019",,,,,"22783,12210",,,20275,33,5.54545,1.61604,5.5,3.0,,,,,,,
22,Magic Realm,1979,"5496,5497",19,"20202,20475,19,319,1158","5,1391",1,16,1,8,3,4,12,14.3,240,240,"1022,1020,1010,1046","2689,2072,2850,2011,2055,2685,2078,2028,2020,2015,2897",,,,"19070,7523,17527,7509,7519,7005,22861,5615,5666,28947,28880",,,1488,2096,7.27678,1.98431,6.34234,4.5457,,,,,,,
23,Divine Right,1979,"4664,5496","20,677","677,7271,98","16,771",2,6,3,6,4,6,12,,360,360,"1010,1001,1019","2072,2850,2676,2026,2947,2041,2685,2070,2079,2015,2897,2974",,,,"64960,7005,22861,5615",,,4082,583,7.15439,1.63166,5.80869,3.2,,,,,,,
24,Twilight Imperium,1997,5496,21,18088,17,2,6,2,6,2,6,12,,240,240,"1015,1026,1001,1016,1113,1019","2072,2026,2011,2002,2015,2017",,,,"67874,29,12210",,,4481,705,6.62941,1.68404,5.76698,3.4906,,,,,,,
25,Battlemist,1998,"4664,5496",21,"18088,21",17,2,6,2,6,2,6,12,,200,200,"1020,1010,1019","2072,2026",,,,"12210,5137",,,10989,325,5.91587,1.4459,5.55152,3.2,,,,,,,
26,Age of Renaissance,1996,5497,"76,1672","12257,11872","5,41",3,6,4,6,5,6,12,,120,300,"1015,1021,1035,1070","2046,2012,2070",,,,50153,,,1589,2188,7.09401,1.7442,6.30315,3.8535,,,,,,,
27,Supremacy: The Game of the Superpowers,1984,4664,643,,"18,41,858",2,6,3,6,4,6,12,,120,300,"1021,1069,1001,1019","2013,2072",,,,"64952,56401,68723",,,15768,1369,5.6753,2.01292,5.52081,3.1167,,,,,,,
28,Illuminati,1987,"5496,5497",22,"28060,3737,22153,12003,11177,15956,15323,12004,403,15958,12005","19,41,2366,2973,10044,139,39,47,3242,3446",2,8,3,6,4,4,12,12.23076923076923,60,180,"1002,1079,1026,1001,1016","2072,2081,2041,2002,2015",,,,5828,859,,2172,5101,6.47505,1.60465,6.13147,2.6528,3.8157894736842106,,,,,,
29,Terrain Vague,1993,,"96,23",17603,14,2,4,2,4,2,4,10,,120,120,"1046,1079","2001,2011",,,,22783,,,12023,70,6.66643,1.4164,5.54262,,,,,,,,
30,Dark Tower,1981,5496,"5489,27914,27820",12424,20,1,4,1,4,4,4,10,,90,90,"1022,1072,1020,1010,1046","2046,2661",,,,"5607,25158,7005",,,2918,1368,6.86379,1.78364,5.96387,1.81,,,,,,,
31,Dark World,1991,5496,1291,16414,"14318,21,792,1299,2721,93,5392,38,4622,95",2,5,2,5,2,5,10,,90,90,"1022,1020,1010,1046,1047","2072,2676",,,,"22783,59218,5607,20613",,1777,23950,824,5.38233,1.64525,5.43784,1.9107,,,,,,,
32,Buffalo Chess,1975,4666,24,"111611,39889","8912,4110,21640,152,37303,500,22,41167,38,131,9466",2,2,2,2,2,2,8,,30,30,"1009,1055,1041",2676,,,,"43639,26432,68769,61979,5880,60340",,,8912,350,6.07809,1.42221,5.58062,1.6154,,,,,,,
34,Arkham Horror,1987,5496,"28,4819,7522,27",13771,"23,41,1391",1,8,1,8,1,8,12,,180,180,"1022,1024,1093","2023,2028,2015",1,,,"62462,5141",,,5119,558,6.64741,1.6666,5.71863,2.4082,,,,,,,
36,Federation & Empire,1986,4664,675,"4769,31983","25,352",2,8,2,8,2,8,12,,300,300,"1016,1019","2072,2676,2026,2947,2070",,,,"64949,25,95,7392",1594,,6591,418,6.41603,1.82102,5.64023,4.4032,,,,,,,
37,Dragon Masters,1991,4664,33,13910,26,2,4,2,4,2,4,12,,120,120,"1010,1019",,,,,"7005,4328",,,18384,152,5.77566,1.59613,5.50908,,,,,,,,
