bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,"""Glozel est Authentique!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Glozel_est_Authentique!""",,,Q65074114,"""Glozel_est_Authentique!"""
,*Star,,,Ea Ea,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,*Star,,,Q4544980,*Star
,.hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.hack,,,Q159851,.hack
4550,1000 Blank White Cards,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000_Blank_White_Cards,,,Q164873,1000_Blank_White_Cards
,100 mexicanos dijeron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100_mexicanos_dijeron,,,Q65490314,100_mexicanos_dijeron
,101 Vehicles,,,"William W. Connors,Joe Fugate",,Digest Group Publications,,,,,,,,,,,,,,,,,,,,,,,,,,,101_Vehicles,,,Q85719571,101_Vehicles
,1313 Dead End Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313_Dead_End_Drive,,,Q4549021,1313_Dead_End_Drive
,13 Dead End Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_Dead_End_Drive,,,Q17258,13_Dead_End_Drive
,13th Age,,,"Jonathan Tweet,Rob Heinsoo,ジョナサン・トゥイート,ロブ・ハインソー",,Pelgrane Press,,,,,,,,,,,,,,,,,,,,,,,,,,,13th_Age,,,Q16000545,13th_Age
,15 puzzle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_puzzle,,,Q191024,15_puzzle
,1776 (boardgame),,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1776_(boardgame),,,Q4553148,1776_(boardgame)
,1776 (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776_(game),,,,1776_(game)
,1829 (board game),,,,,,2,,,,,,12,,,,,,,,,,,,,,,,,,,,1829_(board_game),,,Q4554288,1829_(board_game)
,1830: The Game of Railroads and Robber Barons,,,,,,3,,,,,,12,,,,,,,,,,,,,,,,,,,,1830:_The_Game_of_Railroads_and_Robber_Barons,,,Q201274,1830:_The_Game_of_Railroads_and_Robber_Barons
,1869 (video game),,,,,Max Design,,,,,,,,,,,,,,,,,,,,,,,,,,,1869_(video_game),,,Q202810,1869_(video_game)
,18XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18XX,,,Q204454,18XX
,1914 (game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914_(game),,,Q4559794,1914_(game)
,1920s Investigators' Companion,,,Keith Herber,,"Chaosium,ケイオシアム,混沌元素",,,,,,,,,,,,,,,,,,,,,,,,,,,1920s_Investigators'_Companion,,,Q85721557,1920s_Investigators'_Companion
,2000 A.D. (chess variant),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000_A.D._(chess_variant),,,Q4597105,2000_A.D._(chess_variant)
,221B Baker Street (board game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221B_Baker_Street_(board_game),,,Q4631211,221B_Baker_Street_(board_game)
,24 Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24_Game,,,,24_Game
22999,25 Words or Less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25_Words_or_Less,,,Q4632184,25_Words_or_Less
,3-2-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-2-5,,,Q4634103,3-2-5
,3-5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-5-8,,,,3-5-8
,3-D Tic-Tac-Toe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-D_Tic-Tac-Toe,,,,3-D_Tic-Tac-Toe
,304 (card game),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304_(card_game),,,Q3534741,304_(card_game)
,30 Seconds (game),,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,30_Seconds_(game),,,Q4634529,30_Seconds_(game)
,3D&T,1994,,Marcelo Cassaro,,"Editora JBC,JBC出版社",,,,,,,,,,,,,,,,,,,,,,,,,,,3D&T,,,Q4636255,3D&T
,400 (card game),,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,400_(card_game),,,Q4637279,400_(card_game)
,4 Pics 1 Word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4_Pics_1_Word,,,Q16740899,4_Pics_1_Word
,500 (card game),,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,500_(card_game),,,Q4639730,500_(card_game)
,52 Pickup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52_Pickup,,,,52_Pickup
,61st NHK Cup (shogi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61st_NHK_Cup_(shogi),,,Q17003958,61st_NHK_Cup_(shogi)
,62nd NHK Cup (shogi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62nd_NHK_Cup_(shogi),,,Q17003968,62nd_NHK_Cup_(shogi)
,63rd NHK Cup (shogi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63rd_NHK_Cup_(shogi),,,Q17010013,63rd_NHK_Cup_(shogi)
,6 Nimmt!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_Nimmt!,,,,6_Nimmt!
432,6 nimmt!,,,"Wolfgang Kramer,فولفغانغ كرامر,ヴォルフガング・クラマー",,"Amigo Spiele,Amigo (Spieleverlag)",2,,,,,,,,,,,,,,,,,,,,,,,,,,6_nimmt!,,,Q258972,6_nimmt!
,7 Wonders (board game),2011,,Antoine Bauza,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,7_Wonders_(board_game),,,Q17276,7_Wonders_(board_game)
,7th Sea (collectible card game),,,Dan Verssen,,Alderac Entertainment Group,2,,,,,,,,,,,,,,,,,,,,,,,,,,7th_Sea_(collectible_card_game),,,Q4644180,7th_Sea_(collectible_card_game)
,7th Sea (role-playing game),1999,,"Kevin Wilson (game designer),John Wick (game designer),John Wick (auteur),John Wick (projektant gier)",,"John Wick Presents,Chaosium,Alderac Entertainment Group,ケイオシアム,混沌元素",,,,,,,,,,,,,,,,,,,,,,,,,,,7th_Sea_(role-playing_game),,,Q270118,7th_Sea_(role-playing_game)
,8-Bit Rebellion!,,,"Linkin Park,لينكين بارك,リンキン・パーク,린킨 파크,聯合公園",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Bit_Rebellion!,,,Q2713739,8-Bit_Rebellion!
,9th Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9th_Generation,,,Q20311345,9th_Generation
,A-Train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-Train,,,Q277968,A-Train
,ABPA Backgammon,,,,,"Mattel,Sears,ماتيل,マテル,마텔,美泰兒,시어스,シアーズ,Sears (warenhuisketen),西爾斯百貨",,,,,,,,,,,,,,,,,,,,,,,,,,,ABPA_Backgammon,,,Q2819018,ABPA_Backgammon
,AT-43,2006,,,,"Rackham,Rackham (entreprise)",2,,,,,,,,,,,,,,,,,,,,,,,,,,AT-43,,,Q2819530,AT-43
177736,A Feast for Odin,2016,,"Uwe Rosenberg,أوفي روزنبرغ,ウヴェ・ローゼンベルク,乌维·罗森伯格",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,A_Feast_for_Odin,,,Q36899396,A_Feast_for_Odin
,A Few Acres of Snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A_Few_Acres_of_Snow,,,Q4656713,A_Few_Acres_of_Snow
,A Game of Thrones: Second Edition (card game),,,"Christian T. Petersen,Christian T. Petersen (Spieleautor)",,Fantasy Flight Games,,,,,,,14,,,,,,,,,,,,,,,,,,,,A_Game_of_Thrones:_Second_Edition_(card_game),,,Q25215456,A_Game_of_Thrones:_Second_Edition_(card_game)
,A Game of Thrones (board game),,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,A_Game_of_Thrones_(board_game),,,Q1755280,A_Game_of_Thrones_(board_game)
