bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
6706,Xerxes,1973,Board,Kurt Heuser,,F.X. Schmid,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
,Das Krokodil-Spiel,1987,Board,Johann Rüttinger,,noris,2,2,,,,,8,,,,,,,,,,,,,,,,,,,,,2,,,
,Conquest,1987,Board,Donald Benge,,Hexagames / TST-Enterprises,2,2,,,,,12,,,,,,,,,,,,,,,,,,,,,3,,,
,Momo,1987,Board,"Stefanie Rohner,Christian Wolf",,Herder Verlag,2,,,,,,12,,,,,,,,,,,,,,,,,,,,,5,,,
,Drachenfels,1986,Board,"Leo Colovini,Alex Randolph",,Schmidt,2,4,,,,,6,,,,,,,,,,,,,,,,,,,,,6,,,
,Preisfischen,1987,Board,,,Schmidt,2,4,,,,,5,,,,,,,,,,,,,,,,,,,,,9,,,
724,Höllenhaus,1985,Board,Troy Denning,,Schmidt,2,6,,,,,12,,,,,,,,,,,,,,,,,,,,,11,,,
,Die Mauer,1987,Board,Birmingham Games,,Amigo,2,2,,,,,12,,,,,,,,,,,,,,,,,,,,,14,,,
3030,Wettflug,1987,Board,Alex Randolph,,Ravensburger,2,4,,,,,5,,,,,,,,,,,,,,,,,,,,,16,,,
,Zeitfalle,1987,Board,,,MB,1,1,,,,,7,,,,,,,,,,,,,,,,,,,,,17,,,
,Schnelle 15,1987,Board,,,MB,2,2,,,,,7,,,,,,,,,,,,,,,,,,,,,18,,,
,Sphinx,1987,Board,"Mark Berger,Edith Grein-Böttcher",,Ravensburger,2,2,,,,,8,,,,,,,,,,,,,,,,,,,,,19,,,
,Sniff,1974,Board,Mark Berger,,F.X. Schmid,2,2,,,,,10,,,,,,,,,,,,,,,,,,,,,20,,,
,Fangen,1987,Board,Oded Berman,,Ravensburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,
,"Fang mich, wenn Du kannst",1982,Board,Oded Berman,,Spear,2,4,,,,,4,,,,,,,,,,,,,,,,,,,,,22,,,
,"Lauf, Petzi, Lauf",1987,Board,Wolfgang Kramer,,Ravensburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,
,"Rette sich, wer kann",1983,Board,Wolfgang Kramer,,Ravensburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,
2184,Die 1. Million,1987,Board,Sid Sackson,,Hexagames / TST-Enterprises,2,4,,,,,10,,,,,,,,,,,,,,,,,,,,,26,,,
,Täter unter uns,1987,Board,,,ASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,
,Krimi Party - Nachtflug in den Tod,1986,Board,Werner Fuchs,,Schmidt,8,8,,,,,16,,,,,,,,,,,,,,,,,,,,,29,,,
,Tatort: Nachtexpress,1987,Board,Jeff Smets,,Jumbo,2,6,,,,,12,,,,,,,,,,,,,,,,,,,,,30,,,
