bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
,011 - Therion,2011,,Marco Valtriani,Paolo Vallerga,"Heidelberger Spieleverlag,Scribabs",3,6,,,,,12,,90,115,,,,,,,,,,,,,,3.0,,,,,011-therion,,
,"1, 2, 3 - Hex Herbei!",2017,,"Marco Teubner,Frank Bebenroth",Andreas Besser,Haba-Habermaaß GmbH,2,4,,,,,5,,10,15,,,,,,,,,,,,,,1.0,,,,,1-2-3-hex-herbei,,
,"1, 2, 3 ... ich komme!",2009,,Norbert Berger,Dorothea Cüppers,Haba-Habermaaß GmbH,2,4,,,,,5,,15,25,,,,,,,,,,,,,,2.0,,,,,1-2-3-ich-komme,,
,10 Days in Europe,2010,,"Alan R. Moon,Aaron Weissblum",John Kovalic,"Out of the Box Publishing, LLC",2,4,,,,,8,,10,30,,,,,,Zehn Tage durch ...,,,,,,,,2.0,,,,,10-days-in-europe,,
,10 Days in the USA,2003,,"Alan R. Moon,Aaron Weissblum",John Kovalic,"Out of the Box Publishing, LLC",2,4,,,,,8,,10,30,,,,,,Zehn Tage durch ...,,,,,,,,2.0,,,,,10-days-in-the-usa,,
,1000 und ein Schatz,2010,,Marco Teubner,Ulrike Fischer,Haba-Habermaaß GmbH,2,4,,,,,5,,15,20,,,,,,,,,,,,,,1.0,,,,,1000-und-ein-schatz,,
,100!,2014,,"Karsten Adlung,Bernhard Naegele",Dennis Lohausen,Adlung-Spiele,2,5,,,,,8,,5,15,,,,,,,,,,,,,,1.0,,,,,100_,,
,1066: Der Kampf um England,2015,,Tristan Hall,,Schwerkraft Verlag,1,2,,,,,12,,30,45,,,,,,,,,,,,,,1.0,,,,,1066-der-kampf-um-england,,
,11 nimmt!,2010,,Wolfgang Kramer,Oliver Freudenreich,Amigo Spiel + Freizeit,2,7,,,,,8,,25,30,,,,,,6 nimmt!,,,,,,,,2.0,,,,,11-nimmt,,
,111: MyRummy,2017,,Steffen Benndorf,Leon Schiffer,Schmidt Spiele,2,5,,,,,8,,20,25,,,,,,Rummy,,,,,,,,2.0,,,,,111-myrummy,,
,12 Days of Christmas,2015,,"Gordon ""Gord!"" Hamilton","Lina Cossette,David Forest",Eagle-Gryphon Games,3,8,,,,,8,,20,30,,,,,,,,,,,,,,2.0,,,,,12-days-of-christmas,,
,12 Thieves,2017,,Thorsten Gimmler,"Michael Menzel,Patricia Limberger",Queen Games,2,4,,,,,8,,45,60,,,,,,,,,,,,,,1.0,,,,,12-thieves,,
