bgg_id,name,year,game_type,designer,artist,publisher,min_players,max_players,min_players_rec,max_players_rec,min_players_best,max_players_best,min_age,min_age_rec,min_time,max_time,category,mechanic,cooperative,compilation,compilation_of,family,implementation,integration,rank,num_votes,avg_rating,stddev_rating,bayes_rating,complexity,language_dependency,bga_id,dbpedia_id,luding_id,spielen_id,wikidata_id,wikipedia_id
241590,Smart 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33526,,Q100272319,
15832,Professional eater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1004599,Cheat_(game)
,夾食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q10050812,
,"Wagic, The Homebrew ?!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q100722100,
227789,Heaven & Ale,,,"Michael Kiesling,مايكل كيسلينج",,Eggertspiele,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,32015,,Q100796922,
223321,Detective,,,,,Portal Games,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,32892,,Q100797618,
245934,Carpe Diem,,,"Stefan Feld,شتيفان فيلد,ستيفان فيلد",,"Ravensburger,رافنزبورگر,رافنزبورقر,Равенсбургер,ラベンズバーガー",2,4,,,,,,,,,,,,,,,,,,,,,,,,,,32661,,Q100798116,
247314,Concept Kids: Animals,,,"Alain Rivollet,Gaëtan Beaujannot",,Repos Production,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,32874,,Q100803857,
295488,Andor: The Family Fantasy Game,,,"Inka Brand,잉카 브란트,Markus Brand,마르쿠스 브란트",,"Iello,Franckh-Kosmos,Kosmos,科仕謀思,Франкх-Космас,코스모스,コスモス社",2,4,,,,,,,,,,,,,,,,,,,,,,,,,,33822,,Q100804025,
,Buraco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1010167,Buraco
237182,Root,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q101242941,Root_(board_game)
198740,Lovecraft Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29629,,Q101508603,
,Das Grab des Mose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q101579859,
242804,Lowlands,,,,,Feuerland Spiele,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,32479,,Q101586091,
,Summoner Wars: Války Vyvolávačů,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q101598916,
291550,Foto Fish,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,33862,,Q101699078,
,buzzword bingo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1018376,Buzzword_bingo
2405,Bezique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1019517,Bezique
69,Bōku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1022106,Bōku
,Talisman City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q102227151,Talisman_City
,Talisman The Adventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q102227152,Talisman_The_Adventure
1144,The Warlock of Firetop Mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q102227154,The_Warlock_of_Firetop_Mountain_(board_game)
163839,Feudum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q102227155,Feudum
5786,Star Trek: The Enterprise 4 Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q102227156,Star_Trek:_The_Enterprise_4_Encounter
1541,Mega-Mania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q102227157,Mega-Mania
,Fan Tan,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q102338219,
109681,Court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q10240178,
,Seunggyeongdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q102420346,
,shell game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1025099,Shell_game
132,Caesar & Cleopatra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1025411,
214,Café International,,,Rudi Hoffmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,,Q1025620,Café_International
33767,Yavalath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q10272091,
65586,Splotch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q10296049,
,"Card game counter device for European game with a design of pheasant and wisteria, birds and insects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q102962978,
,"Card game counter device for European game with a design of trailing vine, birds and insects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q102962984,
